sample,IFNg_18,WNT,Angiogenesis,Adenosine,Auslander,Chaurio,Chemokine,Cytotoxic,Effector_T_Cell,Glycolysis,gMDSC,Huang_NRS,Hypoxia,IFNg_6,IFNg_Effector_T_Cells,Ipi_neoadjuvant,MHC_I,MHC_II,mMDSC,MYC,Ock_Immune_Sig_Score,Pan,Proliferation,Ras,Roh_Immune_Score,Rooney_Immune_Cytolytic,Stroma,TIP_Hot,TLS,LKB1_loss,buffa.score,MitoScore,SCN,CAlevel
SL378366,-0.5671042101940816,0.015507328195957695,-0.29899481220334906,-0.3015088407116204,-1.1473580963420889,-0.3853605930275812,-0.5185456585862822,-0.33706413131969387,-0.22049012211173183,-0.9226611001011399,-0.5893883075189966,-0.5795119713535452,-1.0247218025826517,-0.5190339423446143,-0.38238996090010674,-0.5833988333577999,-0.9790377720857887,-0.3693794640253263,-0.6322193002430798,-1.0844459794963974,-0.24645322974458717,0.03337130363349542,-0.8118129583683369,-0.6933981214307543,-0.7232208440187041,-0.6966090359004806,-1.1628562573306767,-1.0657620601488302,-0.19008041745562976,1.5221907596763338,-24,3.472960270805914,46.403153135602544,Low
SL378367,0.7522201897002753,-0.02095786296098447,0.25437102805826134,0.15891804891905736,0.10670498652243288,0.8431088976227507,0.7208122490495604,0.8357180981857422,1.0487140269120199,-0.21158873572872727,0.18528402311066125,0.5139595061822982,-0.4136555931729237,0.6044753492731376,0.9099698989081177,0.6909120226944465,0.17607794949106,-0.15996904656210192,0.29903874759299004,-0.967055224785175,0.3583524958542007,0.026678553504224337,-0.34286648021553384,-0.2755101114664627,0.19917737236015076,0.6477597790155318,0.7623988245541004,0.43175721267649503,0.8220323801100667,-0.3741697501075685,-22,3.4694646408313776,37.555257135463826,Low
SL378368,-0.9352067749637208,-0.6660752664991498,1.046826373675439,0.48852345619502097,-0.7372198826286144,-1.2991611895153992,-0.4093536769051591,-1.428715010779681,-1.3064559332174344,0.6658941046118316,0.8365920078663895,-0.2636306526459494,0.5999118774460195,-1.1711994833860506,-1.2513143880368083,-0.7717827485879503,0.10179582841603455,-0.5632977408101895,-0.06371875417544205,0.990431233450828,-0.42724905521939976,0.7776908212878328,0.7239524012829575,1.2488988473413392,-0.5865669463229003,-1.4785856414933414,0.032294625478045735,-0.9148860066011326,-0.630259544771209,0.804229468261212,34,3.532628089013067,83.37111054360403,High
SL378369,-1.1274070078912228,-0.2731027045103268,-0.49557584176911074,-0.32151473664684554,-0.6344778497010312,-1.120610240678566,-0.9702856351052391,-1.1042841963470622,-1.367380289432409,0.6357384537594258,0.646834998671491,-0.6929383100767056,0.7662461711221888,-1.3789615121796763,-1.3993133232478376,-1.2492965237653921,-0.5178260265172517,-1.4789364564327616,-0.9321241908267714,-0.010167069942307535,-0.49324210824875775,0.6489325223201712,0.4137021155635274,-0.02194037713064929,-1.2443684303218483,-1.40661504118432,-0.021557174537574816,-1.3232914925233945,-1.3555498503683434,-0.4520330139032894,34,3.4945226855934295,79.28412594895708,High
SL378370,-0.4475630002389314,0.041181226544384796,0.18892980958035102,-0.1882213193782553,-0.5395080885465634,-0.34846499066919406,-0.44350394106018837,-0.05592881713695422,-0.17886435005380044,-0.4787448035826835,-0.3829231644569282,-0.48483224835830574,-0.719035225394315,-0.8333730774375208,-0.3881341547471444,-0.3271524140274823,-0.7302607491973799,-0.5769747703181135,-0.40911975356959834,-0.8435008666556492,0.02059025898138658,0.9238818150225271,0.5062044733095444,-0.7521462513891999,-0.6119781609112196,-0.3351818276317418,-0.3190246191402361,-0.902292618114318,-0.09885843499514665,-0.43213871238701407,-24,3.480723397010483,114.61355307684107,Low
SL378371,-0.2672685075341937,0.18640480416992677,0.008508055806613915,-0.13917879861124266,-0.3459749428256068,-0.19476123657245387,0.04712408662082623,-0.3575717438953005,-0.3665391581243249,0.5745128784820455,0.5463847432344043,-0.03189776265815257,0.6433638677938496,-0.324862499589412,-0.23658565662364434,-0.29565258259769484,-0.3027502349618735,-0.5268571853571002,-0.34411732882838153,0.26722262351815107,0.08156658596851216,0.5129612053181525,0.6126652743719614,-0.1794004626764487,-0.42613347835264836,-0.7608235794593876,0.021849654942152363,-0.3629068492709393,-0.26538451135488395,-0.19063913182115572,28,3.4860342530729262,63.1710074854087,High
SL378372,0.2715595620797817,0.6126234556725584,-0.08279286751438324,-0.001687895521055926,-0.3037588238753583,0.18338363369739205,0.30237681239934316,0.35840772377867786,0.20452069786691682,-0.5191618142633184,-0.21974416678736727,0.024253762502515652,-0.4455991552715199,0.0828379202802048,0.23891351129483313,0.250727069268738,0.08892682978122798,0.2784481976093889,-0.05690232768526148,-1.123550171394183,0.2101639134433342,0.1905619339988255,-0.15748265167219175,-0.015349564817148947,-0.0021448954655958266,-0.10986895456474473,0.2172554723922876,0.07430222726332263,0.07319237265208571,-0.045211983516889764,-18,3.4586167850693585,47.56387346687676,Low
SL378373,-1.4455811124000446,-0.21296983048302234,-0.3252315094808308,-0.3974251133019368,-1.0435593021021043,-1.0775067816065662,-0.8691304575237184,-1.5813721238758527,-1.4659799585431699,-1.270808897936525,-1.2028383222955357,-1.3964151984719433,-1.1653150853359961,-1.6282942050046105,-1.4621957340526583,-1.0379853279794595,-1.2310475170029118,-0.9047345270590473,-1.5131386854378823,-1.0227958646465127,-0.603905294854935,-0.2931474759918198,-1.1812110915189962,-1.0735502949237863,-1.180618954025491,-1.721071293607424,-0.7794914013512897,-1.6407747544627795,-0.8864218410320198,0.35579728230420804,-34,3.52252628921598,102.86841268880409,Low
SL380042,0.42332786024592445,0.732113519437745,-0.31621124100155623,0.28621707444638633,0.22239880769181478,0.4438565276157211,0.5149729426854746,0.3049981473250899,0.04705935939380684,-0.6138736455174987,-0.2034264678168855,0.24356244135530075,-0.8449918174705797,0.34372294403967796,0.21206241474549345,0.4754934270005886,0.2910283060495341,0.23418875540367998,0.40637940527860006,-0.6745004946253522,0.19625113682655657,-0.2383887302162351,-0.8585033488156734,0.38073564119435416,0.25227130239312506,0.05717675308966958,-0.30045321932126473,0.27367071780485863,0.3700603014091839,0.20984901819144774,-30,3.4790998770921093,29.386376851987198,Low
SL380043,0.7261433695891598,-0.7386191285564618,0.4740105478346226,0.1018791656509188,0.6938142207698708,0.73639792309111,0.605849197731663,0.8230478332391229,0.6105676169261578,0.1187611551125687,-0.07907089173320833,0.741098066369463,0.28535313272251844,0.42442845036801596,0.6680441779355795,0.7136259592306736,-0.031080086559354275,0.14957943743118401,0.6997167834919271,-0.3690075485486561,0.25795116064899176,0.2626916970326668,0.10500254234157955,-0.20267709897216024,0.22562648041499186,0.3879212271904138,1.0175439043447743,0.669634397666398,0.582668166109417,-0.5688246751882414,14,3.4666382205573583,65.09680086785394,Low
